User ID,Age,Age Group,Gender,Location,Item ID,Title,Type,Genre,Release year,Director/Authors/Artist/Publisher,Rating,description,Interaction ID,Interaction Type,Interaction Time,Country Code,Country
1,58,Elderly,Male,"Goodmanborough, ND",10,Gilead,Book,Fiction,2004,Marilynne Robinson,6.6,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",1,Like,24-06-2022 03:00,ND,United States
1,58,Elderly,Male,"Goodmanborough, ND",11,Streamlined global focus group,Game,Puzzle,1973,Danny Hood,6.7,Social better then everything happen between. Store card into up majority plan property.,2,View,23-11-2022 10:31,ND,United States
1,58,Elderly,Male,"Goodmanborough, ND",12,She-Hulk: Attorney at Law,TV Show,"Comedy, Sci-Fi & Fantasy",2022,Jessica Gao,2.1,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk.",3,Share,17-09-2023 05:31,ND,United States
2,33,Young Adult,Male,"Popefurt, FM",13,"Oh, the Places You'll Go!",Book,Adventure stories,2003,Dr. Seuss,6.8,From bang-ups and hang-ups to lurches and slumps. Dr. Seuss takes a hilarious look at the mishaps and misadventures that life may have in store for us.,4,Dislike,29-03-2024 03:40,FM,Micronesia
3,24,Young Adult,Male,"Hooverfurt, ME",14,The Vampire Diaries,TV Show,"Drama, Sci-Fi & Fantasy",2009,"Kevin Williamson, Julie Plec",4.4,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",5,Share,28-09-2022 06:47,ME,Montenegro
4,20,Young Adult,Male,"Lake Nataliefurt, CT",15,Good Omens,TV Show,"Sci-Fi & Fantasy, Comedy, Drama",2019,Neil Gaiman,5.8,"Aziraphale, an angel, and Crowley, a demon, join forces to find the Antichrist and stop Armageddon.",6,View,06-07-2021 01:06,CT,United States
4,20,Young Adult,Male,"Lake Nataliefurt, CT",16,User-centric multimedia productivity,Game,Racing,2021,Stephanie Chapman,3.2,Beautiful particular see beyond else. Bit after recently director candidate.,7,View,26-03-2020 20:22,CT,United States
5,50,Middle Aged,Male,"West Stephenbury, ME",17,Queen of Babble,Book,Fiction,2006,Meg Cabot,6.3,"Lizzie Nichols discovers that her inability to keep her mouth shut has landed her once again in hot water when she aggravates her unfaithful boyfriend, Andy, is stranded in London, and takes a job as a bartender for a catered wedding at a French chateau, an affair that ends with the groom in disgrace, a furious bride, and Andy returning to ruin everything. 100,000 first printing.",8,Like,30-07-2020 22:11,ME,Montenegro
6,63,Elderly,Female,"Luismouth, MN",18,The Tambour of Retribution,Movie,"Dramas, International Movies, Romantic Movies",2021,Abdulaziz Alshlahei,7,"In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer — a taboo match in a traditional society.",9,Share,04-01-2020 08:11,MN,Mongolia
7,55,Elderly,Female,"Port Thomasfort, MT",19,Layer Cake,Movie,"Independent Movies, International Movies, Thrillers",2004,Matthew Vaughn,4.8,"A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job.",10,Purchase,04-09-2023 19:37,MT,Malta
8,18,Young Adult,Male,"Lake David, WY",20,Time For Kids: Butterflies!,Book,Juvenile Nonfiction,2006,Editors of TIME For Kids,7.1,"Butterflies There are 20,000 different kinds of butterflies in the world. Many have brightly colored wings. But butterflies don't start life as beauties. Every butterfly begins as a tiny egg that hatches into a caterpillar. Then an amazing change takes place. The caterpillar turns into a fluttering butterfly!",11,Purchase,20-10-2021 19:26,WY,United States
9,39,Middle Aged,Female,"Port Deanna, NH",21,Black Boy,Book,Biography & Autobiography,2005,Richard Wright,4.2,"Traces the author's coming of age in the Jim Crow-era South, a period during which he struggled to survive while journeying from innocence to adulthood.",12,Purchase,09-05-2022 01:44,NH,United States
10,79,Old Aged,Female,"Kristenmouth, NJ",22,The Twilight Saga: Breaking Dawn: Part 1,Movie,"Dramas, Romantic Movies",2011,Bill Condon,6.9,"After a dream wedding, Bella and Edward enter a new nightmare when a shocking development forces life-or-death decisions.",13,Like,07-05-2023 03:41,NJ,United States
11,42,Middle Aged,Male,"Sullivanland, NM",23,Je Suis Karl,Movie,"Dramas, International Movies",2021,Christian Schwochow,3.5,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",14,View,18-02-2021 11:57,NM,Mexico
12,40,Middle Aged,Female,"West James, MS",24,Cryptonomicon,Book,Fiction,2002,Neal Stephenson,2.8,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon",15,Like,30-04-2023 04:15,MS,Montserrat
13,64,Elderly,Female,"Lake Ronaldborough, CO",25,Manifest,TV Show,"Drama, Mystery, Sci-Fi & Fantasy",2018,Jeff Rake,8.4,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",16,Like,25-03-2021 15:00,CO,Colombia
14,80,Old Aged,Female,"South Anthonyberg, ND",26,Quivers,Book,African Americans in radio broadcasting,1995,Robin Quivers,2,"The outspoken co-host of The Howard Stern Show reveals her disturbing background as a sexually abused child of poverty and describes her ongoing struggle for recovery and her friendship with Stern. 200,000 first printing. $150,000 ad/promo. Tour.",17,View,09-11-2023 21:22,ND,United States
14,80,Old Aged,Female,"South Anthonyberg, ND",27,Ujala,Movie,"Dramas, International Movies",1959,Naresh Saigal,7.1,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",18,Share,12-07-2020 04:57,ND,United States
14,80,Old Aged,Female,"South Anthonyberg, ND",28,House Party 2,Movie,"Comedies, Cult Movies, Music & Musicals",1991,"George Jackson, Doug McHenry",9.5,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",19,View,03-01-2020 17:10,ND,United States
